id,listing_url,scrape_id,host_id,host_name,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,calculated_host_listings_count,reviews_per_month
20469589,https://www.airbnb.com/rooms/20469589,2.0171E+13,18884528,Ann,67%,f,2,2,Brooklyn,NY,11215,Apartment,Private room,2,1,1,1,Real Bed,$90.00 ,,,$100.00 ,$50.00 ,1,$20.00 ,0,,,,,,,,flexible,2,
7035579,https://www.airbnb.com/rooms/7035579,2.0171E+13,36885622,James,,f,1,1,New York,NY,10024,Apartment,Entire home/apt,2,1,1,1,Real Bed,$125.00 ,$750.00 ,,,$50.00 ,1,$0.00 ,0,,,,,,,,flexible,1,
19610687,https://www.airbnb.com/rooms/19610687,2.0171E+13,2597159,Alana,100%,f,2,2,Brooklyn,NY,11211,House,Entire home/apt,4,1,1,2,Real Bed,$150.00 ,,,$0.00 ,$68.00 ,2,$20.00 ,11,98,10,10,10,10,10,10,strict,2,4.29
5783899,https://www.airbnb.com/rooms/5783899,2.0171E+13,23977712,Sarah,100%,t,4,4,New York,NY,10029,Apartment,Private room,2,1,1,1,Real Bed,$100.00 ,,,,$40.00 ,1,$0.00 ,174,93,9,9,10,10,9,9,strict,4,5.77
7539610,https://www.airbnb.com/rooms/7539610,2.0171E+13,39503857,Craig,,f,1,1,New York,NY,10030,Apartment,Private room,1,1,1,1,Real Bed,$200.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
19842239,https://www.airbnb.com/rooms/19842239,2.0171E+13,140264879,Lucas,100%,f,1,1,Brooklyn,NY,11213,Apartment,Private room,2,1,1,1,Real Bed,$26.00 ,,,$100.00 ,,1,$6.00 ,1,100,10,10,10,10,10,10,flexible,1,0.4
1655027,https://www.airbnb.com/rooms/1655027,2.0171E+13,8331572,Amy,100%,f,2,2,New York,NY,10002,Apartment,Entire home/apt,4,1,2,2,Real Bed,$250.00 ,,"$7,000.00 ",$500.00 ,$100.00 ,4,$25.00 ,155,90,9,9,10,10,9,9,strict,2,3.15
4053471,https://www.airbnb.com/rooms/4053471,2.0171E+13,3967335,Molly,100%,f,2,2,Brooklyn,NY,11222,Apartment,Private room,1,1,1,1,Real Bed,$65.00 ,$425.00 ,"$1,650.00 ",,,1,$20.00 ,13,89,9,9,9,9,10,9,strict,2,0.35
5680714,https://www.airbnb.com/rooms/5680714,2.0171E+13,15231014,Govind,100%,f,1,1,Brooklyn,NY,11233,Apartment,Private room,2,1,1,2,Real Bed,$90.00 ,$750.00 ,"$3,200.00 ",$95.00 ,$30.00 ,2,$50.00 ,16,99,10,10,10,10,9,10,strict,1,0.52
13427702,https://www.airbnb.com/rooms/13427702,2.0171E+13,11791633,Neel,,f,1,1,Queens,NY,11102,Apartment,Private room,2,1,1,1,Real Bed,$65.00 ,,,$95.00 ,$15.00 ,1,$0.00 ,1,,,,,,,,flexible,1,0.07
9777422,https://www.airbnb.com/rooms/9777422,2.0171E+13,50405420,Crystal,,f,1,1,New York,NY,10019,Apartment,Entire home/apt,2,1,0,1,Real Bed,$200.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
15758553,https://www.airbnb.com/rooms/15758553,2.0171E+13,14258860,Alvaro,,f,1,1,Brooklyn,NY,11211,Apartment,Entire home/apt,4,1,0,2,Real Bed,$200.00 ,"$1,300.00 ",,,$80.00 ,2,$15.00 ,1,100,10,10,,10,,,strict,1,0.09
17746914,https://www.airbnb.com/rooms/17746914,2.0171E+13,8857333,John,50%,f,1,1,New York,NY,10016,Apartment,Entire home/apt,2,1,1,1,Real Bed,$140.00 ,,,$800.00 ,$130.00 ,1,$0.00 ,2,100,9,10,10,10,9,9,strict,1,0.37
20888646,https://www.airbnb.com/rooms/20888646,2.0171E+13,3843799,Ron,100%,t,42,42,New York,NY,10017,Timeshare,Entire home/apt,4,1,1,2,Real Bed,$199.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,3,
3801701,https://www.airbnb.com/rooms/3801701,2.0171E+13,12090062,Annie,100%,f,1,1,New York,NY,10011,Apartment,Entire home/apt,3,1,0,1,Real Bed,$199.00 ,"$1,500.00 ","$3,500.00 ",$300.00 ,$80.00 ,2,$30.00 ,22,95,10,10,10,10,10,10,strict,1,0.58
1313768,https://www.airbnb.com/rooms/1313768,2.0171E+13,7139147,Hank,70%,f,1,1,Brooklyn,NY,11249,Apartment,Entire home/apt,3,1,1,1,Real Bed,$190.00 ,"$1,200.00 ","$4,000.00 ",,$80.00 ,1,$0.00 ,4,100,10,9,10,10,10,9,flexible,1,0.08
7540025,https://www.airbnb.com/rooms/7540025,2.0171E+13,10747093,Byron,100%,t,1,1,New York,NY,10027,Apartment,Private room,2,1,1,1,Real Bed,$120.00 ,$525.00 ,,$500.00 ,,2,$75.00 ,14,99,10,9,10,10,10,10,strict,1,1.05
4446178,https://www.airbnb.com/rooms/4446178,2.0171E+13,946323,Ran,,f,1,1,Brooklyn,NY,11218,Apartment,Entire home/apt,2,1,1,1,Real Bed,$125.00 ,,,$200.00 ,$100.00 ,2,$0.00 ,6,80,9,8,10,9,8,7,strict,1,0.17
2251009,https://www.airbnb.com/rooms/2251009,2.0171E+13,4265028,Jordan,,f,1,1,New York,NY,10003,Apartment,Private room,2,1,1,1,Futon,$129.00 ,$575.00 ,,,,1,$0.00 ,1,100,10,8,10,10,10,10,strict,1,0.05
13789876,https://www.airbnb.com/rooms/13789876,2.0171E+13,14600868,Gero,100%,f,2,2,Brooklyn ,NY,11205,Apartment,Private room,1,1,1,1,Real Bed,$50.00 ,,,$300.00 ,$80.00 ,1,$10.00 ,3,87,8,7,8,9,7,7,moderate,2,0.21
12836502,https://www.airbnb.com/rooms/12836502,2.0171E+13,70081787,Sophia Grace,60%,f,1,1,New York,NY,10012,Apartment,Private room,2,1,1,1,Real Bed,$120.00 ,,,$100.00 ,$50.00 ,1,$0.00 ,3,87,9,7,9,10,10,8,strict,1,0.22
11742689,https://www.airbnb.com/rooms/11742689,2.0171E+13,62473623,Nadav,,f,1,1,Brooklyn,NY,11221,Apartment,Private room,2,1,1,1,Real Bed,$48.00 ,,,,$20.00 ,1,$20.00 ,2,90,10,10,9,10,9,10,strict,1,0.11
3850254,https://www.airbnb.com/rooms/3850254,2.0171E+13,5175407,Holly,100%,f,1,1,Brooklyn,NY,11206,Apartment,Private room,1,1,2,2,Real Bed,$90.00 ,,,,,1,$0.00 ,15,98,10,10,10,10,9,10,strict,1,0.4
15192526,https://www.airbnb.com/rooms/15192526,2.0171E+13,24084256,Debby,0%,f,1,1,Brooklyn,NY,11238,Apartment,Private room,1,1,1,1,Real Bed,$70.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
16798531,https://www.airbnb.com/rooms/16798531,2.0171E+13,29947110,Vincent,100%,f,1,1,Brooklyn,NY,11215,Apartment,Private room,2,1,1,1,Real Bed,$80.00 ,,,,$15.00 ,1,$0.00 ,5,95,10,9,10,10,10,9,flexible,1,0.88
3575859,https://www.airbnb.com/rooms/3575859,2.0171E+13,1239959,Naz,100%,f,1,1,New York,NY,10012,Apartment,Private room,2,1,1,1,Real Bed,$150.00 ,$950.00 ,"$2,750.00 ",,$60.00 ,1,$20.00 ,1,80,8,6,10,10,10,10,strict,1,0.08
13300059,https://www.airbnb.com/rooms/13300059,2.0171E+13,36478779,Isa,100%,t,1,1,Brooklyn,NY,11225,Guest suite,Entire home/apt,2,1,0,1,Real Bed,$70.00 ,,,$100.00 ,$50.00 ,1,$0.00 ,35,97,10,10,10,10,9,10,strict,1,2.39
18777549,https://www.airbnb.com/rooms/18777549,2.0171E+13,116402232,Sam,100%,t,4,4,New York,NY,10075,Apartment,Entire home/apt,3,1,0,1,Real Bed,$149.00 ,,,,$75.00 ,1,$0.00 ,15,97,10,10,10,10,10,10,strict,1,3.24
20282481,https://www.airbnb.com/rooms/20282481,2.0171E+13,16875773,Selin & Conor,90%,f,1,1,New York,NY,10010,Apartment,Private room,2,1,1,1,Real Bed,$100.00 ,,,$150.00 ,$20.00 ,1,$10.00 ,1,100,10,10,10,10,10,10,strict,1,1
10054708,https://www.airbnb.com/rooms/10054708,2.0171E+13,707992,Andrea,,f,1,1,Brooklyn,NY,11220,Apartment,Private room,2,1,1,1,Real Bed,$80.00 ,,$900.00 ,,,1,$0.00 ,0,,,,,,,,flexible,1,
20395728,https://www.airbnb.com/rooms/20395728,2.0171E+13,145415788,Nick,98%,f,4,4,New York,NY,10036,Apartment,Shared room,1,1,1,1,Real Bed,$49.00 ,,,$200.00 ,$10.00 ,1,$0.00 ,3,80,10,10,9,9,10,10,strict,4,1.91
19122217,https://www.airbnb.com/rooms/19122217,2.0171E+13,96363026,Chris,100%,f,1,1,Brooklyn,NY,11231,Townhouse,Entire home/apt,12,2.5,5,8,Real Bed,$300.00 ,,,$500.00 ,$150.00 ,7,$50.00 ,1,100,10,8,10,10,10,8,strict,1,0.51
15802389,https://www.airbnb.com/rooms/15802389,2.0171E+13,102111718,Demi,0%,f,1,1,Brooklyn,NY,11233,Apartment,Entire home/apt,2,1,2,2,Real Bed,$200.00 ,,,$100.00 ,,1,$100.00 ,0,,,,,,,,flexible,1,
16236939,https://www.airbnb.com/rooms/16236939,2.0171E+13,32031114,Joseph,,f,1,1,Brooklyn,NY,11216,Apartment,Entire home/apt,3,1,1,2,Real Bed,$110.00 ,,,,$40.00 ,1,$0.00 ,1,80,10,6,10,10,8,8,strict,1,0.11
20015668,https://www.airbnb.com/rooms/20015668,2.0171E+13,118902541,Evelyn,100%,f,1,1,New York,NY,10031,Apartment,Entire home/apt,2,1,1,1,Real Bed,$80.00 ,,,$200.00 ,$25.00 ,1,$0.00 ,0,,,,,,,,flexible,1,
20388226,https://www.airbnb.com/rooms/20388226,2.0171E+13,140798168,Olivia,67%,f,1,1,Astoria,NY,11102,Apartment,Entire home/apt,2,1,1,1,Real Bed,$85.00 ,,,,,1,$0.00 ,0,,,,,,,,flexible,1,
16201857,https://www.airbnb.com/rooms/16201857,2.0171E+13,7824337,Miralva,100%,f,2,2,Brooklyn ,NY,11226,Apartment,Private room,2,1,1,2,Real Bed,$100.00 ,,,$0.00 ,$0.00 ,1,$10.00 ,8,100,10,10,10,10,9,10,moderate,2,0.87
4884325,https://www.airbnb.com/rooms/4884325,2.0171E+13,25128129,Tam,100%,t,1,1,New York,NY,10016,Apartment,Private room,2,1,1,1,Real Bed,$120.00 ,$800.00 ,"$2,500.00 ",,$35.00 ,1,$25.00 ,20,99,10,10,10,10,10,10,strict,1,0.94
822297,https://www.airbnb.com/rooms/822297,2.0171E+13,4318262,Hiddai,,f,1,1,Brooklyn,NY,11238,Apartment,Entire home/apt,4,2,2,2,Real Bed,$190.00 ,"$1,300.00 ",,$500.00 ,$50.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
6018589,https://www.airbnb.com/rooms/6018589,2.0171E+13,31241183,Lilian,100%,t,2,2,New York,NY,10032,Apartment,Private room,2,1.5,1,1,Real Bed,$65.00 ,$469.00 ,"$1,500.00 ",,$30.00 ,1,$15.00 ,18,99,10,10,10,10,10,10,strict,2,0.66
15294943,https://www.airbnb.com/rooms/15294943,2.0171E+13,21594748,Gabriel,100%,f,2,2,New York,NY,10025,Apartment,Private room,4,1,1,2,Real Bed,$110.00 ,,,,$38.00 ,2,$19.00 ,5,90,9,9,9,9,9,9,flexible,2,0.41
13786392,https://www.airbnb.com/rooms/13786392,2.0171E+13,80978619,Agamy,100%,f,1,1,New York,NY,10018,Apartment,Entire home/apt,4,1,1,2,Real Bed,$130.00 ,,,,$20.00 ,1,$20.00 ,14,89,10,10,10,10,10,9,strict,1,0.92
9316287,https://www.airbnb.com/rooms/9316287,2.0171E+13,6290433,Molly And Nick,100%,f,1,1,Brooklyn,NY,11233,House,Entire home/apt,6,2,3,3,Real Bed,$270.00 ,,,$300.00 ,$50.00 ,1,$0.00 ,5,100,10,10,10,10,9,10,flexible,1,0.44
842176,https://www.airbnb.com/rooms/842176,2.0171E+13,3330412,Pierre  & Amira,100%,t,1,1,Brooklyn,NY,11211,Apartment,Private room,2,1,1,1,Real Bed,$80.00 ,$650.00 ,,,$40.00 ,1,$10.00 ,76,96,10,9,10,10,10,10,strict,1,1.44
2134572,https://www.airbnb.com/rooms/2134572,2.0171E+13,4096046,Bianca And Yotam,,f,1,1,Brooklyn,NY,11216,Apartment,Entire home/apt,3,1,1,1,Real Bed,$125.00 ,$700.00 ,,,$50.00 ,1,$0.00 ,8,100,10,10,10,10,9,10,moderate,1,0.25
16366905,https://www.airbnb.com/rooms/16366905,2.0171E+13,1294365,Dede,,f,2,2,Brooklyn,NY,11205,Apartment,Private room,1,1,1,1,Real Bed,$60.00 ,,,,,1,$0.00 ,1,100,10,10,10,10,8,10,strict,1,0.11
15606875,https://www.airbnb.com/rooms/15606875,2.0171E+13,96101938,Mary,,t,2,2,Brooklyn,NY,11221,Apartment,Private room,3,1,1,1,Real Bed,$110.00 ,,,,,3,$13.00 ,9,96,10,10,10,10,10,10,flexible,2,0.96
10279086,https://www.airbnb.com/rooms/10279086,2.0171E+13,52862385,The Mahogany Suite(Studio Apartment,100%,t,3,3,Brooklyn,NY,11203,House,Entire home/apt,2,1.5,1,1,Real Bed,$99.00 ,$600.00 ,"$1,800.00 ",$100.00 ,$90.00 ,2,$25.00 ,52,98,10,10,10,10,9,10,strict,3,2.94
2644321,https://www.airbnb.com/rooms/2644321,2.0171E+13,4294396,Angélique,,f,1,1,New York,NY,10027,Apartment,Entire home/apt,2,1,1,2,Real Bed,$83.00 ,$700.00 ,"$2,800.00 ","$2,000.00 ",,1,$0.00 ,1,80,10,6,10,10,10,10,strict,1,0.05
19458240,https://www.airbnb.com/rooms/19458240,2.0171E+13,1160069,David,100%,f,1,1,New York,NY,10128,Apartment,Entire home/apt,2,1,1,1,Real Bed,$111.00 ,,,$0.00 ,$25.00 ,1,$0.00 ,4,80,10,7,10,9,10,8,moderate,1,1.22
16560739,https://www.airbnb.com/rooms/16560739,2.0171E+13,108786369,Kwana,,f,1,1,Brooklyn,NY,11205,Apartment,Entire home/apt,3,2,1,1,Real Bed,$130.00 ,,,$250.00 ,$100.00 ,3,$25.00 ,8,100,10,10,10,10,9,10,strict,1,0.94
2071941,https://www.airbnb.com/rooms/2071941,2.0171E+13,1468317,Jessie,,f,1,1,Brooklyn,NY,11222,Other,Entire home/apt,3,1,1,2,Real Bed,$200.00 ,$500.00 ,"$1,600.00 ",,$120.00 ,1,$0.00 ,0,,,,,,,,moderate,1,
4137129,https://www.airbnb.com/rooms/4137129,2.0171E+13,21462353,Brett,100%,f,1,1,New York,NY,10014,Apartment,Entire home/apt,2,1,1,1,Real Bed,$325.00 ,,,$300.00 ,$100.00 ,1,$0.00 ,5,88,10,8,8,8,10,9,strict,1,0.17
7482792,https://www.airbnb.com/rooms/7482792,2.0171E+13,8435624,Heidi,,f,1,1,Brooklyn,NY,11238,Apartment,Entire home/apt,1,1,0,1,Futon,$105.00 ,,,,$25.00 ,1,$0.00 ,15,100,10,10,10,10,10,10,flexible,1,0.57
10165181,https://www.airbnb.com/rooms/10165181,2.0171E+13,47554473,Mae,100%,f,15,15,Brooklyn,NY,11222,Loft,Entire home/apt,4,1,0,2,Real Bed,$169.00 ,,,,,1,$0.00 ,12,98,10,10,10,10,9,10,strict,15,0.56
13443722,https://www.airbnb.com/rooms/13443722,2.0171E+13,76739836,Alisa,,f,1,1,New York,NY,,Apartment,Private room,2,1,1,1,Real Bed,$160.00 ,,,$200.00 ,$30.00 ,1,$0.00 ,10,96,9,9,10,10,10,10,moderate,1,0.65
1704798,https://www.airbnb.com/rooms/1704798,2.0171E+13,8998805,Koji & H,100%,f,1,1,New York,NY,10001,Apartment,Private room,2,1,1,2,Real Bed,$92.00 ,,,,$30.00 ,1,$20.00 ,106,81,8,8,9,9,9,8,strict,1,2.18
17366414,https://www.airbnb.com/rooms/17366414,2.0171E+13,117347203,Peggy,100%,f,1,1,New York,NY,10016,Apartment,Entire home/apt,7,2,3,3,Real Bed,$420.00 ,,,"$3,000.00 ",$200.00 ,1,$0.00 ,12,100,10,10,10,10,10,10,strict,1,1.75
16052733,https://www.airbnb.com/rooms/16052733,2.0171E+13,103503018,Carlos,100%,t,2,2,New York,NY,10032,Apartment,Private room,3,1,1,1,Real Bed,$70.00 ,,,$250.00 ,$50.00 ,1,$40.00 ,13,98,10,10,10,10,10,9,strict,2,1.42
31555,https://www.airbnb.com/rooms/31555,2.0171E+13,135619,Tom,100%,f,1,1,New York,NY,10014,Apartment,Entire home/apt,2,1,0,1,Real Bed,$125.00 ,$900.00 ,"$3,000.00 ","$2,500.00 ",$200.00 ,1,$0.00 ,19,91,9,8,10,10,10,9,strict,1,0.23
20204802,https://www.airbnb.com/rooms/20204802,2.0171E+13,26956042,Lauren,100%,f,1,1,Queens,NY,11101,Apartment,Entire home/apt,2,1,1,1,Real Bed,$200.00 ,,,$100.00 ,$75.00 ,1,$0.00 ,4,100,10,10,10,10,10,10,moderate,1,4
765569,https://www.airbnb.com/rooms/765569,2.0171E+13,4036700,Anna,100%,f,1,1,Brooklyn,NY,11201,Apartment,Entire home/apt,4,1,2,2,Real Bed,$195.00 ,,,$100.00 ,$40.00 ,2,$25.00 ,57,97,10,10,10,10,10,10,strict,1,0.97
17652581,https://www.airbnb.com/rooms/17652581,2.0171E+13,1202402,Neda,100%,f,1,1,New York,NY,10009,Apartment,Entire home/apt,3,1,1,2,Real Bed,$165.00 ,,,$500.00 ,$80.00 ,2,$40.00 ,9,90,10,9,10,10,10,10,strict,1,1.35
2429485,https://www.airbnb.com/rooms/2429485,2.0171E+13,12417401,Craig,100%,f,1,1,Brooklyn,NY,11215,Apartment,Private room,2,1,1,1,Real Bed,$105.00 ,$400.00 ,"$1,500.00 ",,$10.00 ,1,$0.00 ,12,95,10,9,10,9,10,9,moderate,1,0.78
1428648,https://www.airbnb.com/rooms/1428648,2.0171E+13,7683052,Leah,,f,1,1,New York,NY,10014,Apartment,Private room,1,1.5,1,1,Real Bed,$150.00 ,,"$2,200.00 ",$100.00 ,,1,$0.00 ,6,83,9,9,10,9,10,7,strict,1,0.16
10212066,https://www.airbnb.com/rooms/10212066,2.0171E+13,21738200,Jeffery,100%,t,1,1,New York,NY,10014,Apartment,Entire home/apt,2,1,1,1,Real Bed,$219.00 ,,,$250.00 ,$95.00 ,1,$0.00 ,45,98,10,10,10,10,10,10,strict,1,2.1
11792006,https://www.airbnb.com/rooms/11792006,2.0171E+13,1850179,Tyson,100%,f,1,1,Brooklyn,NY,11216,Apartment,Entire home/apt,3,2,2,2,Real Bed,$145.00 ,,,,$95.00 ,1,$0.00 ,10,98,10,9,9,10,10,9,moderate,1,0.67
18196551,https://www.airbnb.com/rooms/18196551,2.0171E+13,125588720,Dale,100%,t,1,1,New York,NY,10009,Apartment,Entire home/apt,7,1,3,3,Real Bed,$299.00 ,,,$250.00 ,$95.00 ,3,$20.00 ,15,99,10,9,10,10,10,10,strict,1,3.21
19317085,https://www.airbnb.com/rooms/19317085,2.0171E+13,5817533,Leda,100%,f,1,1,Queens,NY,11106,Apartment,Private room,1,1,1,1,Real Bed,$85.00 ,,,$200.00 ,$50.00 ,1,$0.00 ,4,95,9,9,10,10,10,9,strict,1,1.67
2075600,https://www.airbnb.com/rooms/2075600,2.0171E+13,5089,Subhana,100%,f,1,1,Brooklyn,NY,11221,Apartment,Entire home/apt,2,1,1,1,Real Bed,$151.00 ,$800.00 ,"$2,800.00 ",$0.00 ,$150.00 ,2,$75.00 ,21,94,9,10,9,9,9,9,moderate,1,0.47
