0,1,weight
"El Paso, TX","Albuquerque, NM",367.8858436
"El Paso, TX","Mesa, AZ",536.25666
"El Paso, TX","Tucson, AZ",425.4138674
"El Paso, TX","Phoenix, AZ",558.7835704
"El Paso, TX","Colorado Springs, CO",797.7517117
"Long Beach, CA","Oakland, CA",579.5829987
"Long Beach, CA","Mesa, AZ",590.1562042
"Long Beach, CA","Sacramento, CA",611.064979
"Long Beach, CA","Tucson, AZ",698.6566668
"Long Beach, CA","San Jose, CA",518.2330606
"Long Beach, CA","Fresno, CA",360.4704578
"Long Beach, CA","San Diego, CA",151.4500825
"Long Beach, CA","Phoenix, AZ",567.4125391
"Long Beach, CA","San Francisco, CA",585.6985398
"Long Beach, CA","Los Angeles, CA",31.69419564
"Long Beach, CA","Las Vegas, NV",385.2597725
"Dallas, TX","Arlington, TX",29.42593132
"Dallas, TX","Wichita, KS",548.0572492
"Dallas, TX","Oklahoma City, OK",306.2597807
"Dallas, TX","New Orleans, LA",711.0141469
"Dallas, TX","Houston, TX",361.5418591
"Dallas, TX","Kansas City, MO",730.3775879
"Dallas, TX","San Antonio, TX",406.0065657
"Dallas, TX","Memphis, TN",675.3316243
"Dallas, TX","Tulsa, OK",382.464108
"Dallas, TX","Austin, TX",292.9114663
"Dallas, TX","Fort Worth, TX",49.93359899
"Oakland, CA","Sacramento, CA",109.8215979
"Oakland, CA","San Jose, CA",61.90292319
"Oakland, CA","Fresno, CA",250.2309726
"Oakland, CA","San Diego, CA",730.9953136
"Oakland, CA","San Francisco, CA",13.42808053
"Oakland, CA","Los Angeles, CA",552.3121684
"Oakland, CA","Las Vegas, NV",658.3408716
"Albuquerque, NM","Mesa, AZ",514.5675469
"Albuquerque, NM","Tucson, AZ",510.7965705
"Albuquerque, NM","Phoenix, AZ",534.0407586
"Albuquerque, NM","Denver, CO",536.4291828
"Albuquerque, NM","Colorado Springs, CO",445.6400042
"Albuquerque, NM","Las Vegas, NV",779.9534169
"Baltimore, MD","Raleigh, NC",429.0122832
"Baltimore, MD","Cleveland, OH",495.1075478
"Baltimore, MD","Philadelphia, PA",144.0640482
"Baltimore, MD","Boston, MA",578.0875135
"Baltimore, MD","Charlotte, NC",586.2855476
"Baltimore, MD",Washington D.C.,56.16567491
"Baltimore, MD","New York, NY",272.3842218
"Baltimore, MD","Detroit, MI",637.6886783
"Baltimore, MD","Columbus, OH",551.5744272
"Baltimore, MD","Virginia Beach, VA",276.4842803
"Raleigh, NC","Cleveland, OH",688.612509
"Raleigh, NC","Louisville/Jefferson County, KY",688.7073657
"Raleigh, NC","Atlanta, GA",571.2185029
"Raleigh, NC","Philadelphia, PA",554.7433743
"Raleigh, NC","Charlotte, NC",208.6997989
"Raleigh, NC",Washington D.C.,375.2253061
"Raleigh, NC","New York, NY",680.9077808
"Raleigh, NC","Indianapolis, IN",795.0096233
"Raleigh, NC","Nashville-Davidson, TN",733.3988291
"Raleigh, NC","Columbus, OH",601.6987724
"Raleigh, NC","Virginia Beach, VA",266.3738586
"Raleigh, NC","Jacksonville, FL",667.2967758
"Mesa, AZ","Tucson, AZ",157.2601731
"Mesa, AZ","San Diego, CA",502.3263561
"Mesa, AZ","Phoenix, AZ",22.7955304
"Mesa, AZ","Los Angeles, CA",596.6944423
"Mesa, AZ","Las Vegas, NV",429.898831
"Arlington, TX","Wichita, KS",550.8138003
"Arlington, TX","Oklahoma City, OK",305.8953556
"Arlington, TX","New Orleans, LA",735.802623
"Arlington, TX","Houston, TX",369.5566421
"Arlington, TX","Kansas City, MO",742.8459955
"Arlington, TX","San Antonio, TX",390.8981857
"Arlington, TX","Memphis, TN",703.661624
"Arlington, TX","Tulsa, OK",393.3587398
"Arlington, TX","Austin, TX",280.8343388
"Arlington, TX","Fort Worth, TX",20.93069668
"Sacramento, CA","San Jose, CA",142.3716835
"Sacramento, CA","Fresno, CA",253.9761319
"Sacramento, CA","San Diego, CA",760.0327692
"Sacramento, CA","San Francisco, CA",120.6813468
"Sacramento, CA","Los Angeles, CA",581.3180719
"Sacramento, CA","Portland, OR",777.4903266
"Sacramento, CA","Las Vegas, NV",621.6693472
"Wichita, KS","Oklahoma City, OK",247.3691536
"Wichita, KS","Kansas City, MO",286.7887193
"Wichita, KS","Memphis, TN",709.8334441
"Wichita, KS","Denver, CO",701.4183355
"Wichita, KS","Omaha, NE",412.2771985
"Wichita, KS","Tulsa, OK",208.1658494
"Wichita, KS","Colorado Springs, CO",665.1967107
"Wichita, KS","Fort Worth, TX",548.224927
"Tucson, AZ","San Diego, CA",587.0077247
"Tucson, AZ","Phoenix, AZ",173.3786819
"Tucson, AZ","Los Angeles, CA",710.4231699
"Tucson, AZ","Las Vegas, NV",585.0709976
"Cleveland, OH","Louisville/Jefferson County, KY",500.1707648
"Cleveland, OH","Philadelphia, PA",575.9173041
"Cleveland, OH","Chicago, IL",494.2464074
"Cleveland, OH","Charlotte, NC",700.9265026
"Cleveland, OH",Washington D.C.,488.9898877
"Cleveland, OH","New York, NY",649.4502673
"Cleveland, OH","Indianapolis, IN",422.6497658
"Cleveland, OH","Detroit, MI",145.0420206
"Cleveland, OH","Nashville-Davidson, TN",738.3543836
